_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68202735df21a5c1da1a9907,,43.96,88.42,43.96,70.19,514;0;0;0,words,100,-1,1,140.31,0,1.11,false,false,english,,normal,false,false,false,,1746937653000
68202686df21a5c1da1a9448,,39.02,86.09,39.02,57.14,509;0;0;0,words,100,-1,0,156.53,0,0,false,false,english,,normal,false,false,false,,1746937478000
682025a6df21a5c1da1a8e70,,43.08,90.24,43.08,63.92,550;0;0;0,words,100,-1,0,153.21,0,0,false,false,english,,normal,false,false,false,,1746937254000
6804e2b9571a92858c4cb61e,,19.48,89.14,19.48,39.02,270;0;0;0,words,50,-1,0,166.3,12,0,false,false,english,,normal,false,false,false,,1745150649000
6804e14f571a92858c4ca8a8,,39.43,88.52,39.43,58.24,263;0;0;0,words,50,-1,0,80.04,2,0,false,false,english,,normal,false,false,false,,1745150287000
6804e0ed571a92858c4ca548,,41.12,87.83,41.12,63.81,259;0;0;0,words,50,-1,0,75.58,0,0,false,false,english,,normal,false,false,false,,1745150189000
6804e06f571a92858c4ca08e,,42,90.65,42,58.36,2612;0;0;0,words,500,-1,0,746.35,17,0,false,false,english,,normal,false,false,false,,1745150063000
67fd13a4435c447d2b420d7f,true,45.82,92.23,45.82,62.42,1580;0;0;0,words,300,-1,1,413.79,2,11.74,false,false,english,,normal,false,false,false,,1744638884000
67fa9b682c70a16b7ed9aa30,,45.11,90.99,45.11,64.25,521;0;0;0,words,100,-1,0,138.58,0,0,false,false,english,,normal,false,false,false,,1744477032000
67fa8b7a2c70a16b7ed901f7,,43.32,90.64,43.32,58.95,532;0;0;0,words,100,-1,0,147.37,0,0,false,false,english,,normal,false,false,false,,1744472954000
67f551cf2c70a16b7e9e4477,,45.87,91.87,45.87,65.1,2638;0;0;0,words,500,-1,0,690.09,0,0,false,false,english,,normal,false,false,false,,1744130511000
67ea420a1d4f6d42a8642c06,,44.2,91.59,44.25,63.2,2655;0;0;1,words,500,-1,0,720.73,1,0,false,false,english,,normal,false,false,false,,1743405578000
67dc2e812042d3c662cdc6e5,,43.43,89.96,43.43,59.96,2615;0;0;0,words,500,-1,0,722.55,4,0,false,false,english,,normal,false,false,false,,1742483073000
67d830234e66d8ea7e617c42,true,51.4,94.58,51.4,59.87,257;0;0;0,time,60,-1,0,60.01,0,0,false,false,english,,normal,false,false,false,,1742221347000
